Diamond{index=293, carat=0.51, cut=Ideal, color=D, clarity=VVS1, depth=61.7, percentageOfWidth=56.0, cost=2797.0, length=5.12, width=5.16}
Diamond{index=175, carat=0.7, cut=Ideal, color=E, clarity=SI1, depth=62.7, percentageOfWidth=55.0, cost=2774.0, length=5.68, width=5.74}
Diamond{index=199, carat=0.7, cut=Ideal, color=E, clarity=SI1, depth=61.4, percentageOfWidth=57.0, cost=2777.0, length=5.76, width=5.7}
Diamond{index=250, carat=0.7, cut=Ideal, color=E, clarity=SI1, depth=61.6, percentageOfWidth=56.0, cost=2789.0, length=5.72, width=5.75}
Diamond{index=583, carat=0.77, cut=Ideal, color=E, clarity=SI2, depth=60.7, percentageOfWidth=55.0, cost=2834.0, length=6.01, width=5.95}
Diamond{index=112, carat=0.74, cut=Ideal, color=E, clarity=SI2, depth=62.2, percentageOfWidth=56.0, cost=2761.0, length=5.8, width=5.84}
Diamond{index=356, carat=0.73, cut=Ideal, color=E, clarity=SI2, depth=61.8, percentageOfWidth=58.0, cost=2805.0, length=5.77, width=5.81}
Diamond{index=327, carat=0.53, cut=Ideal, color=F, clarity=IF, depth=61.9, percentageOfWidth=54.0, cost=2802.0, length=5.22, width=5.25}
Diamond{index=230, carat=0.52, cut=Ideal, color=F, clarity=IF, depth=62.2, percentageOfWidth=55.0, cost=2783.0, length=5.14, width=5.18}
Diamond{index=169, carat=0.58, cut=Ideal, color=F, clarity=VVS1, depth=61.7, percentageOfWidth=56.0, cost=2772.0, length=5.33, width=5.37}
Diamond{index=553, carat=0.53, cut=Ideal, color=F, clarity=VVS1, depth=60.9, percentageOfWidth=57.0, cost=2830.0, length=5.23, width=5.29}
Diamond{index=554, carat=0.53, cut=Ideal, color=F, clarity=VVS1, depth=61.8, percentageOfWidth=57.0, cost=2830.0, length=5.16, width=5.19}
Diamond{index=579, carat=0.53, cut=Ideal, color=F, clarity=VVS1, depth=61.4, percentageOfWidth=57.0, cost=2834.0, length=5.2, width=5.23}
Diamond{index=208, carat=0.52, cut=Ideal, color=F, clarity=VVS1, depth=61.3, percentageOfWidth=55.0, cost=2778.0, length=5.19, width=5.22}
Diamond{index=234, carat=0.51, cut=Ideal, color=F, clarity=VVS1, depth=62.0, percentageOfWidth=57.0, cost=2787.0, length=5.11, width=5.15}
Diamond{index=426, carat=0.51, cut=Ideal, color=F, clarity=VVS1, depth=62.0, percentageOfWidth=57.0, cost=2812.0, length=5.15, width=5.11}
Diamond{index=456, carat=0.63, cut=Ideal, color=F, clarity=VVS2, depth=61.5, percentageOfWidth=56.0, cost=2817.0, length=5.48, width=5.52}
Diamond{index=585, carat=0.63, cut=Ideal, color=F, clarity=VVS2, depth=61.9, percentageOfWidth=57.0, cost=2835.0, length=5.47, width=5.51}
Diamond{index=573, carat=0.61, cut=Ideal, color=F, clarity=VVS2, depth=61.7, percentageOfWidth=55.0, cost=2833.0, length=5.45, width=5.48}
Diamond{index=493, carat=0.6, cut=Ideal, color=F, clarity=VVS2, depth=62.0, percentageOfWidth=55.0, cost=2822.0, length=5.37, width=5.4}
Diamond{index=292, carat=0.57, cut=Ideal, color=F, clarity=VVS2, depth=61.9, percentageOfWidth=55.0, cost=2797.0, length=5.34, width=5.35}
Diamond{index=584, carat=0.73, cut=Ideal, color=F, clarity=VS1, depth=61.2, percentageOfWidth=56.0, cost=2835.0, length=5.89, width=5.81}
Diamond{index=347, carat=0.72, cut=Ideal, color=F, clarity=VS1, depth=61.7, percentageOfWidth=57.0, cost=2804.0, length=5.74, width=5.77}
Diamond{index=547, carat=0.72, cut=Ideal, color=F, clarity=VS1, depth=61.7, percentageOfWidth=57.0, cost=2829.0, length=5.77, width=5.74}
Diamond{index=270, carat=0.7, cut=Ideal, color=F, clarity=VS1, depth=62.2, percentageOfWidth=56.0, cost=2792.0, length=5.73, width=5.68}
Diamond{index=414, carat=0.29, cut=Ideal, color=F, clarity=VS1, depth=61.6, percentageOfWidth=56.0, cost=555.0, length=4.26, width=4.31}
Diamond{index=115, carat=0.73, cut=Ideal, color=F, clarity=VS2, depth=62.6, percentageOfWidth=56.0, cost=2762.0, length=5.77, width=5.74}
Diamond{index=116, carat=0.73, cut=Ideal, color=F, clarity=VS2, depth=62.7, percentageOfWidth=53.0, cost=2762.0, length=5.8, width=5.75}
Diamond{index=317, carat=0.73, cut=Ideal, color=F, clarity=VS2, depth=62.5, percentageOfWidth=55.0, cost=2801.0, length=5.8, width=5.76}
Diamond{index=213, carat=0.71, cut=Ideal, color=F, clarity=VS2, depth=62.1, percentageOfWidth=54.0, cost=2780.0, length=5.68, width=5.72}
Diamond{index=495, carat=0.73, cut=Ideal, color=F, clarity=SI1, depth=62.1, percentageOfWidth=55.0, cost=2822.0, length=5.75, width=5.78}
Diamond{index=157, carat=0.71, cut=Ideal, color=F, clarity=SI1, depth=60.7, percentageOfWidth=56.0, cost=2770.0, length=5.77, width=5.8}
Diamond{index=241, carat=0.71, cut=Ideal, color=F, clarity=SI1, depth=62.5, percentageOfWidth=55.0, cost=2788.0, length=5.71, width=5.65}
Diamond{index=594, carat=0.71, cut=Ideal, color=F, clarity=SI1, depth=59.8, percentageOfWidth=53.0, cost=2838.0, length=5.86, width=5.82}
Diamond{index=364, carat=0.7, cut=Ideal, color=F, clarity=SI1, depth=61.6, percentageOfWidth=55.0, cost=2806.0, length=5.72, width=5.74}
Diamond{index=575, carat=0.7, cut=Ideal, color=F, clarity=SI1, depth=60.7, percentageOfWidth=57.0, cost=2833.0, length=5.73, width=5.75}
Diamond{index=259, carat=0.83, cut=Ideal, color=F, clarity=SI2, depth=62.3, percentageOfWidth=55.0, cost=2790.0, length=6.02, width=6.05}
Diamond{index=303, carat=0.82, cut=Ideal, color=F, clarity=SI2, depth=62.4, percentageOfWidth=54.0, cost=2799.0, length=5.97, width=6.02}
Diamond{index=520, carat=0.82, cut=Ideal, color=F, clarity=SI2, depth=62.4, percentageOfWidth=54.0, cost=2824.0, length=6.02, width=5.97}
Diamond{index=109, carat=0.81, cut=Ideal, color=F, clarity=SI2, depth=58.8, percentageOfWidth=57.0, cost=2761.0, length=6.14, width=6.11}
Diamond{index=279, carat=0.81, cut=Ideal, color=F, clarity=SI2, depth=62.6, percentageOfWidth=55.0, cost=2795.0, length=5.92, width=5.96}
Diamond{index=111, carat=0.8, cut=Ideal, color=F, clarity=SI2, depth=61.4, percentageOfWidth=57.0, cost=2761.0, length=5.96, width=6.0}
Diamond{index=120, carat=0.8, cut=Ideal, color=F, clarity=SI2, depth=59.9, percentageOfWidth=59.0, cost=2762.0, length=6.01, width=6.07}
Diamond{index=165, carat=0.79, cut=Ideal, color=F, clarity=SI2, depth=61.9, percentageOfWidth=55.0, cost=2771.0, length=5.97, width=5.92}
Diamond{index=552, carat=0.97, cut=Ideal, color=F, clarity=I1, depth=60.7, percentageOfWidth=56.0, cost=2830.0, length=6.41, width=6.43}
Diamond{index=316, carat=0.96, cut=Ideal, color=F, clarity=I1, depth=60.7, percentageOfWidth=55.0, cost=2801.0, length=6.37, width=6.41}
Diamond{index=536, carat=0.96, cut=Ideal, color=F, clarity=I1, depth=60.7, percentageOfWidth=55.0, cost=2826.0, length=6.41, width=6.37}
Diamond{index=257, carat=0.64, cut=Ideal, color=G, clarity=IF, depth=61.3, percentageOfWidth=56.0, cost=2790.0, length=5.54, width=5.58}
Diamond{index=314, carat=0.61, cut=Ideal, color=G, clarity=IF, depth=62.3, percentageOfWidth=56.0, cost=2800.0, length=5.43, width=5.45}
Diamond{index=251, carat=0.55, cut=Ideal, color=G, clarity=IF, depth=60.9, percentageOfWidth=57.0, cost=2789.0, length=5.28, width=5.3}
Diamond{index=140, carat=0.64, cut=Ideal, color=G, clarity=VVS1, depth=61.9, percentageOfWidth=56.0, cost=2766.0, length=5.53, width=5.56}
Diamond{index=168, carat=0.58, cut=Ideal, color=G, clarity=VVS1, depth=61.5, percentageOfWidth=55.0, cost=2772.0, length=5.39, width=5.44}
Diamond{index=447, carat=0.61, cut=Ideal, color=G, clarity=VVS2, depth=60.1, percentageOfWidth=57.0, cost=2816.0, length=5.52, width=5.54}
Diamond{index=66, carat=0.28, cut=Ideal, color=G, clarity=VVS2, depth=61.4, percentageOfWidth=56.0, cost=553.0, length=4.19, width=4.22}
Diamond{index=214, carat=0.74, cut=Ideal, color=G, clarity=VS1, depth=61.5, percentageOfWidth=55.0, cost=2780.0, length=5.81, width=5.86}
Diamond{index=478, carat=0.71, cut=Ideal, color=G, clarity=VS1, depth=62.9, percentageOfWidth=58.0, cost=2820.0, length=5.66, width=5.69}
Diamond{index=215, carat=0.7, cut=Ideal, color=G, clarity=VS1, depth=61.4, percentageOfWidth=59.0, cost=2780.0, length=5.64, width=5.73}
Diamond{index=413, carat=0.3, cut=Ideal, color=G, clarity=VS1, depth=62.3, percentageOfWidth=56.0, cost=555.0, length=4.29, width=4.31}
Diamond{index=52, carat=0.23, cut=Ideal, color=G, clarity=VS1, depth=61.9, percentageOfWidth=54.0, cost=404.0, length=3.93, width=3.95}
Diamond{index=576, carat=0.8, cut=Ideal, color=G, clarity=VS2, depth=62.2, percentageOfWidth=56.0, cost=2834.0, length=5.94, width=5.87}
Diamond{index=221, carat=0.76, cut=Ideal, color=G, clarity=VS2, depth=61.3, percentageOfWidth=56.0, cost=2782.0, length=5.9, width=5.94}
Diamond{index=294, carat=0.72, cut=Ideal, color=G, clarity=VS2, depth=61.9, percentageOfWidth=58.0, cost=2797.0, length=5.72, width=5.75}
Diamond{index=359, carat=0.72, cut=Ideal, color=G, clarity=VS2, depth=62.8, percentageOfWidth=56.0, cost=2805.0, length=5.74, width=5.7}
Diamond{index=118, carat=0.71, cut=Ideal, color=G, clarity=VS2, depth=62.4, percentageOfWidth=54.0, cost=2762.0, length=5.72, width=5.76}
Diamond{index=164, carat=0.71, cut=Ideal, color=G, clarity=VS2, depth=61.9, percentageOfWidth=57.0, cost=2771.0, length=5.73, width=5.77}
Diamond{index=332, carat=0.71, cut=Ideal, color=G, clarity=VS2, depth=61.3, percentageOfWidth=56.0, cost=2803.0, length=5.75, width=5.71}
Diamond{index=93, carat=0.7, cut=Ideal, color=G, clarity=VS2, depth=61.6, percentageOfWidth=56.0, cost=2757.0, length=5.7, width=5.67}
Diamond{index=419, carat=0.3, cut=Ideal, color=G, clarity=VS2, depth=62.0, percentageOfWidth=56.0, cost=556.0, length=4.28, width=4.3}
Diamond{index=309, carat=0.83, cut=Ideal, color=G, clarity=SI1, depth=62.3, percentageOfWidth=57.0, cost=2800.0, length=5.99, width=6.08}
Diamond{index=310, carat=0.83, cut=Ideal, color=G, clarity=SI1, depth=61.8, percentageOfWidth=57.0, cost=2800.0, length=6.03, width=6.07}
Diamond{index=561, carat=0.79, cut=Ideal, color=G, clarity=SI1, depth=61.8, percentageOfWidth=56.0, cost=2831.0, length=5.93, width=5.91}
Diamond{index=106, carat=0.75, cut=Ideal, color=G, clarity=SI1, depth=62.2, percentageOfWidth=55.0, cost=2760.0, length=5.87, width=5.8}
Diamond{index=103, carat=0.74, cut=Ideal, color=G, clarity=SI1, depth=61.6, percentageOfWidth=55.0, cost=2760.0, length=5.8, width=5.85}
Diamond{index=183, carat=0.72, cut=Ideal, color=G, clarity=SI1, depth=61.8, percentageOfWidth=56.0, cost=2776.0, length=5.72, width=5.75}
Diamond{index=184, carat=0.72, cut=Ideal, color=G, clarity=SI1, depth=60.7, percentageOfWidth=56.0, cost=2776.0, length=5.79, width=5.82}
Diamond{index=186, carat=0.71, cut=Ideal, color=G, clarity=SI1, depth=60.5, percentageOfWidth=56.0, cost=2776.0, length=5.8, width=5.76}
Diamond{index=415, carat=0.35, cut=Ideal, color=G, clarity=SI1, depth=60.6, percentageOfWidth=56.0, cost=555.0, length=4.56, width=4.58}
Diamond{index=249, carat=0.81, cut=Ideal, color=G, clarity=SI2, depth=61.6, percentageOfWidth=56.0, cost=2789.0, length=5.97, width=6.01}
Diamond{index=540, carat=0.7, cut=Ideal, color=H, clarity=VVS1, depth=61.6, percentageOfWidth=57.0, cost=2827.0, length=5.69, width=5.74}
Diamond{index=541, carat=0.7, cut=Ideal, color=H, clarity=VVS1, depth=62.3, percentageOfWidth=55.0, cost=2827.0, length=5.66, width=5.7}
Diamond{index=295, carat=0.74, cut=Ideal, color=H, clarity=VS1, depth=61.8, percentageOfWidth=58.0, cost=2797.0, length=5.77, width=5.81}
Diamond{index=296, carat=0.74, cut=Ideal, color=H, clarity=VS1, depth=61.6, percentageOfWidth=56.0, cost=2797.0, length=5.81, width=5.82}
Diamond{index=475, carat=0.72, cut=Ideal, color=H, clarity=VS1, depth=62.3, percentageOfWidth=56.0, cost=2819.0, length=5.73, width=5.77}
Diamond{index=349, carat=0.82, cut=Ideal, color=H, clarity=VS2, depth=61.5, percentageOfWidth=56.0, cost=2804.0, length=6.01, width=6.08}
Diamond{index=577, carat=0.8, cut=Ideal, color=H, clarity=VS2, depth=62.8, percentageOfWidth=57.0, cost=2834.0, length=5.91, width=5.87}
Diamond{index=131, carat=0.77, cut=Ideal, color=H, clarity=VS2, depth=62.0, percentageOfWidth=56.0, cost=2763.0, length=5.89, width=5.86}
Diamond{index=275, carat=0.73, cut=Ideal, color=H, clarity=VS2, depth=62.7, percentageOfWidth=55.0, cost=2793.0, length=5.72, width=5.76}
Diamond{index=409, carat=0.34, cut=Ideal, color=H, clarity=VS2, depth=61.5, percentageOfWidth=56.0, cost=555.0, length=4.47, width=4.5}
Diamond{index=410, carat=0.34, cut=Ideal, color=H, clarity=VS2, depth=60.4, percentageOfWidth=57.0, cost=555.0, length=4.54, width=4.57}
Diamond{index=451, carat=0.83, cut=Ideal, color=H, clarity=SI1, depth=62.5, percentageOfWidth=55.0, cost=2816.0, length=6.04, width=6.0}
Diamond{index=566, carat=0.82, cut=Ideal, color=H, clarity=SI1, depth=62.5, percentageOfWidth=57.0, cost=2832.0, length=5.91, width=5.97}
Diamond{index=468, carat=0.8, cut=Ideal, color=H, clarity=SI1, depth=61.0, percentageOfWidth=57.0, cost=2818.0, length=6.07, width=6.0}
Diamond{index=218, carat=0.78, cut=Ideal, color=H, clarity=SI1, depth=61.2, percentageOfWidth=56.0, cost=2781.0, length=5.92, width=5.99}
Diamond{index=217, carat=0.77, cut=Ideal, color=H, clarity=SI1, depth=62.2, percentageOfWidth=56.0, cost=2781.0, length=5.83, width=5.88}
Diamond{index=139, carat=0.76, cut=Ideal, color=H, clarity=SI1, depth=61.2, percentageOfWidth=57.0, cost=2765.0, length=5.88, width=5.91}
Diamond{index=319, carat=0.75, cut=Ideal, color=H, clarity=SI1, depth=60.4, percentageOfWidth=57.0, cost=2801.0, length=5.93, width=5.96}
Diamond{index=436, carat=0.7, cut=Ideal, color=H, clarity=SI1, depth=60.4, percentageOfWidth=56.0, cost=2815.0, length=5.75, width=5.81}
Diamond{index=437, carat=0.7, cut=Ideal, color=H, clarity=SI1, depth=61.4, percentageOfWidth=56.0, cost=2815.0, length=5.7, width=5.76}
Diamond{index=438, carat=0.7, cut=Ideal, color=H, clarity=SI1, depth=61.5, percentageOfWidth=55.0, cost=2815.0, length=5.73, width=5.79}
Diamond{index=439, carat=0.7, cut=Ideal, color=H, clarity=SI1, depth=61.4, percentageOfWidth=56.0, cost=2815.0, length=5.72, width=5.77}
Diamond{index=402, carat=0.3, cut=Ideal, color=H, clarity=SI1, depth=62.9, percentageOfWidth=57.0, cost=554.0, length=4.27, width=4.22}
Diamond{index=450, carat=0.87, cut=Ideal, color=H, clarity=SI2, depth=62.7, percentageOfWidth=56.0, cost=2816.0, length=6.16, width=6.13}
Diamond{index=574, carat=0.85, cut=Ideal, color=H, clarity=SI2, depth=62.5, percentageOfWidth=57.0, cost=2833.0, length=6.02, width=6.07}
Diamond{index=405, carat=0.33, cut=Ideal, color=H, clarity=SI2, depth=61.4, percentageOfWidth=56.0, cost=554.0, length=4.85, width=4.79}
Diamond{index=494, carat=0.74, cut=Ideal, color=I, clarity=VVS1, depth=60.8, percentageOfWidth=57.0, cost=2822.0, length=5.85, width=5.89}
Diamond{index=67, carat=0.32, cut=Ideal, color=I, clarity=VVS1, depth=62.0, percentageOfWidth=55.3, cost=553.0, length=4.39, width=4.42}
Diamond{index=518, carat=0.77, cut=Ideal, color=I, clarity=VVS2, depth=62.1, percentageOfWidth=57.0, cost=2824.0, length=5.84, width=5.86}
Diamond{index=238, carat=0.76, cut=Ideal, color=I, clarity=VVS2, depth=61.8, percentageOfWidth=56.0, cost=2788.0, length=5.85, width=5.87}
Diamond{index=108, carat=0.74, cut=Ideal, color=I, clarity=VVS2, depth=62.3, percentageOfWidth=55.0, cost=2761.0, length=5.77, width=5.81}
Diamond{index=453, carat=0.71, cut=Ideal, color=I, clarity=VVS2, depth=60.2, percentageOfWidth=56.0, cost=2817.0, length=5.84, width=5.89}
Diamond{index=105, carat=0.8, cut=Ideal, color=I, clarity=VS1, depth=62.9, percentageOfWidth=56.0, cost=2760.0, length=5.94, width=5.87}
Diamond{index=313, carat=0.79, cut=Ideal, color=I, clarity=VS1, depth=61.8, percentageOfWidth=59.0, cost=2800.0, length=5.92, width=5.95}
Diamond{index=301, carat=0.77, cut=Ideal, color=I, clarity=VS1, depth=61.5, percentageOfWidth=59.0, cost=2798.0, length=5.87, width=5.91}
Diamond{index=61, carat=0.35, cut=Ideal, color=I, clarity=VS1, depth=60.9, percentageOfWidth=57.0, cost=552.0, length=4.54, width=4.59}
Diamond{index=411, carat=0.34, cut=Ideal, color=I, clarity=VS1, depth=61.8, percentageOfWidth=55.0, cost=555.0, length=4.48, width=4.52}
Diamond{index=412, carat=0.34, cut=Ideal, color=I, clarity=VS1, depth=62.0, percentageOfWidth=56.0, cost=555.0, length=4.5, width=4.53}
Diamond{index=555, carat=0.8, cut=Ideal, color=I, clarity=VS2, depth=62.1, percentageOfWidth=54.4, cost=2830.0, length=5.94, width=5.99}
Diamond{index=580, carat=0.78, cut=Ideal, color=I, clarity=VS2, depth=61.8, percentageOfWidth=55.0, cost=2834.0, length=5.92, width=5.95}
Diamond{index=274, carat=0.76, cut=Ideal, color=I, clarity=VS2, depth=61.3, percentageOfWidth=56.0, cost=2793.0, length=5.87, width=5.91}
Diamond{index=418, carat=0.36, cut=Ideal, color=I, clarity=VS2, depth=61.9, percentageOfWidth=56.0, cost=556.0, length=4.54, width=4.57}
Diamond{index=152, carat=0.74, cut=Ideal, color=I, clarity=SI1, depth=61.3, percentageOfWidth=56.0, cost=2769.0, length=5.82, width=5.86}
Diamond{index=53, carat=0.32, cut=Ideal, color=I, clarity=SI1, depth=60.9, percentageOfWidth=55.0, cost=404.0, length=4.45, width=4.48}
Diamond{index=393, carat=0.32, cut=Ideal, color=I, clarity=SI1, depth=62.4, percentageOfWidth=57.0, cost=554.0, length=4.37, width=4.35}
